player_lastname,player_firstname,season,draymond
Hammons ,AJ,2017,-0.177
Price ,AJ,2014,5.912
Price ,AJ,2015,-1.791
Brooks ,Aaron,2014,-0.953
Brooks ,Aaron,2015,-0.186
Brooks ,Aaron,2016,2.297
Brooks ,Aaron,2017,-1.122
Brooks ,Aaron,2018,-3.238
Gordon ,Aaron,2015,1.529
Gordon ,Aaron,2016,-0.059
Gordon ,Aaron,2017,0.283
Gordon ,Aaron,2018,1.179
Gordon ,Aaron,2019,-0.056
Gray ,Aaron,2014,-1.097
Harrison ,Aaron,2016,0.633
Harrison ,Aaron,2017,-8.023
Harrison ,Aaron,2018,-0.514
Holiday ,Aaron,2019,1.722
Jackson ,Aaron,2018,-7.791
Nader ,Abdel,2018,-2.305
Nader ,Abdel,2019,-1.125
Thomas ,Adonis,2014,-1.633
Payne ,Adreian,2015,-3.483
Payne ,Adreian,2016,-1.042
Payne ,Adreian,2017,0.262
Payne ,Adreian,2018,-0.974
Harrington ,Al,2014,-0.718
Horford ,Al,2014,1.487
Horford ,Al,2015,1.582
Horford ,Al,2016,1.475
Horford ,Al,2017,-0.059
Horford ,Al,2018,2.735
Horford ,Al,2019,1.182
Jefferson ,Al,2014,0.774
Jefferson ,Al,2015,-0.815
Jefferson ,Al,2016,-0.193
Jefferson ,Al,2017,-0.939
Jefferson ,Al,2018,-0.67
Aminu ,Al-Farouq,2014,-1.204
Aminu ,Al-Farouq,2015,-0.032
Aminu ,Al-Farouq,2016,0.504
Aminu ,Al-Farouq,2017,1.039
Aminu ,Al-Farouq,2018,0.939
Aminu ,Al-Farouq,2019,-0.923
Anderson ,Alan,2014,-0.619
Anderson ,Alan,2015,-0.154
Anderson ,Alan,2016,-2.482
Anderson ,Alan,2017,-2.505
Williams ,Alan,2016,2.122
Williams ,Alan,2017,2.145
Williams ,Alan,2018,-2.083
Williams ,Alan,2019,8.127
Burks ,Alec,2014,-1.143
Burks ,Alec,2015,-2.626
Burks ,Alec,2016,-2.255
Burks ,Alec,2017,1.066
Burks ,Alec,2018,-2.677
Burks ,Alec,2019,-1.057
Peters ,Alec,2018,-0.022
Abrines ,Alex,2017,-2.268
Abrines ,Alex,2018,-0.641
Abrines ,Alex,2019,-1.125
Caruso ,Alex,2018,1.459
Caruso ,Alex,2019,4.171
Kirk ,Alex,2015,-11.543
Len ,Alex,2014,-2.645
Len ,Alex,2015,1.205
Len ,Alex,2016,0.653
Len ,Alex,2017,1.542
Len ,Alex,2018,0.554
Len ,Alex,2019,0.402
Poythress ,Alex,2017,-1.036
Poythress ,Alex,2018,0.969
Poythress ,Alex,2019,1.196
Stepheson ,Alex,2016,6.57
Shved ,Alexey,2014,-0.438
Shved ,Alexey,2015,-2.375
Ajinca ,Alexis,2014,-1.232
Ajinca ,Alexis,2015,0.918
Ajinca ,Alexis,2016,0.042
Ajinca ,Alexis,2017,0.544
McKinnie ,Alfonzo,2018,2.833
McKinnie ,Alfonzo,2019,-0.221
Johnson ,Alize,2019,3.424
Crabbe ,Allen,2014,-0.935
Crabbe ,Allen,2015,0.882
Crabbe ,Allen,2016,0.373
Crabbe ,Allen,2017,-0.68
Crabbe ,Allen,2018,0.827
Crabbe ,Allen,2019,1.085
Trier ,Allonzo,2019,-0.902
Gee ,Alonzo,2014,-1.231
Gee ,Alonzo,2015,1.703
Gee ,Alonzo,2016,-0.475
Gee ,Alonzo,2017,2.314
Stoudemire ,Amar'e,2014,0.063
Stoudemire ,Amar'e,2015,1.099
Stoudemire ,Amar'e,2016,1.678
Jefferson ,Amile,2019,-2.663
Johnson ,Amir,2014,0.476
Johnson ,Amir,2015,0.12
Johnson ,Amir,2016,0.837
Johnson ,Amir,2017,1.916
Johnson ,Amir,2018,1.458
Johnson ,Amir,2019,-1.439
Varejao ,Anderson,2014,0.048
Varejao ,Anderson,2015,-0.508
Varejao ,Anderson,2016,-1.222
Varejao ,Anderson,2017,-2.459
Blatche ,Andray,2014,-0.968
Dawkins ,Andre,2015,8.61
Drummond ,Andre,2014,-0.3
Drummond ,Andre,2015,0.576
Drummond ,Andre,2016,-0.282
