player_id,player_lastname,player_firstname
abrinal01,Abrines,Alex
acyqu01,Acy,Quincy
adamsst01,Adams,Steven
adamsja01,Adams,Jaylen
adamsjo01,Adams,Jordan
adebaba01,Adebayo,Bam
adelde01,Adel,Deng
adrieje01,Adrien,Jeff
afflaar01,Afflalo,Arron
ajincal01,Ajinca,Alexis
akoonde01,Akoon-Purcell,DeVaughn
aldemfu01,Aldemir,Furkan
aldrico01,Aldrich,Cole
aldrila01,Aldridge,LaMarcus
alexacl01,Alexander,Cliff
alkinra01,Alkins,Rawle
allengr01,Allen,Grayson
allenla01,Allen,Lavoy
allento01,Allen,Tony
allenja01,Allen,Jarrett
allenka01,Allen,Kadeem
allenra02,Allen,Ray
aminual01,Aminu,Al-Farouq
amundlo01,Amundson,Lou
anderch01,Andersen,Chris
anderal01,Anderson,Alan
anderja01,Anderson,James
anderju01,Anderson,Justin
anderry01,Anderson,Ryan
anderky01,Anderson,Kyle
anigbik01,Anigbogu,Ike
antetgi01,Antetokounmpo,Giannis
antetth01,Antetokounmpo,Thanasis
antetko01,Antetokounmpo,Kostas
anthoca01,Anthony,Carmelo
anthojo01,Anthony,Joel
anticpe01,Antic,Pero
anunoog01,Anunoby,OG
applike01,Appling,Keith
arcidry01,Arcidiacono,Ryan
arizatr01,Ariza,Trevor
armsthi01,Armstrong,Hilton
arthuda01,Arthur,Darrell
artisja01,Artis,Jamel
asikom01,Ask,Omer
augusdj01,Augustin,D.J.
ayongu01,Ayon,Gustavo
pendeje02,Ayres,Jeff
aytonde01,Ayton,Deandre
babbch01,Babb,Chris
babbilu01,Babbitt,Luke
bacondw01,Bacon,Dwayne
baglema01,Bagley,Marvin
bairsca01,Bairstow,Cameron
bakerro01,Baker,Ron
baldwwa01,Baldwin,Wade
balllo01,Ball,Lonzo
bambamo01,Bamba,Mohamed
barbole01,Barbosa,Leandro
bareajo01,Barea,J.J.
bargnan01,Bargnani,Andrea
barnema02,Barnes,Matt
barneha02,Barnes,Harrison
barroea01,Barron,Earl
bartowi01,Barton,Will
bassbr01,Bass,Brandon
bateske01,Bates-Diop,Keita
battish01,Battier,Shane
batumni01,Batum,Nicolas
bayleje01,Bayless,Jerryd
baynear01,Baynes,Aron
bazemke01,Bazemore,Kent
bealbr01,Beal,Bradley
beaslmi01,Beasley,Michael
beaslma01,Beasley,Malik
belinma01,Belinelli,Marco
belljo01,Bell,Jordan
bembrde01,Bembry,DeAndre'
bendedr01,Bender,Dragan
benimje01,Benimon,Jerrelle
bennean01,Bennett,Anthony
bentibe01,Bentil,Ben
bertada01,Bertans,Davis
bertada02,Bertans,Dairis
beverpa01,Beverley,Patrick
bhullsi01,Bhullar,Sim
biedran01,Biedrins,Andris
billuch01,Billups,Chauncey
birchkh01,Birch,Khem
birdja01,Bird,Jabari
biyombi01,Biyombo,Bismack
bjeline01,Bjelica,Nemanja
blackta01,Black,Tarik
blairde01,Blair,DeJuan
blakest01,Blake,Steve
blakean01,Blakeney,Antonio
blatcan01,Blatche,Andray
bledser01,Bledsoe,Eric
blossja01,Blossomgame,Jaron
blueva01,Blue,Vander
boganke01,Bogans,Keith
bogdabo02,Bogdanovic,Bojan
bogdabo01,Bogdanovic,Bogdan
bogutan01,Bogut,Andrew
boldejo01,Bolden,Jonah
bolomjo01,Bolomboy,Joel
bongais01,Bonga,Isaac
bonnema01,Bonner,Matt
bookede01,Booker,Devin
booketr01,Booker,Trevor
boozeca01,Boozer,Carlos
boshch01,Bosh,Chris
bouchch01,Boucher,Chris
bradlav01,Bradley,Avery
bradlto01,Bradley,Tony
brandel01,Brand,Elton
breweco01,Brewer,Corey
brewero02,Brewer,Ronnie
bridgmi01,Bridges,Mikal
bridgmi02,Bridges,Miles
briscis01,Briscoe,Isaiah
broekry01,Broekhoff,Ryan
brogdma01,Brogdon,Malcolm
brookaa01,Brooks,Aaron
brookdi01,Brooks,Dillon
brookma01,Brooks,MarShon
brownan02,Brown,Anthony
brownja02,Brown,Jaylen
brownma02,Brown,Markel
brownlo01,Brown,Lorenzo
brownbo02,Brown,Bobby
brownst02,Brown,Sterling
brownbr01,Brown,Bruce
browntr01,Brown,Troy
brownsh01,Brown,Shannon
brownja01,Brown,Jabari
brunsja01,Brunson,Jalen
brussni01,Brussino,Nicolas
bryanko01,Bryant,Kobe
bryanth01,Bryant,Thomas
budinch01,Budinger,Chase
bullore01,Bullock,Reggie
burketr01,Burke,Trey
burksal01,Burks,Alec
burtode02,Burton,Deonte
butlera01,Butler,Rasual
butleji01,Butler,Jimmy
butleca01,Butler,Caron
buyckdw01,Buycks,Dwight
bynuman01,Bynum,Andrew
bynumwi01,Bynum,Will
cabocbr01,Caboclo,Bruno
calatni01,Calathes,Nick
caldejo01,Calderon,Jose
caldwke01,Caldwell-Pope,Kentavious
canaais01,Canaan,Isaiah
capelca01,Capela,Clint
carrode01,Carroll,DeMarre
cartevi01,Carter,Vince
carteje01,Carter,Jevon
cartewe01,Carter,Wendell
